,
TeamName,Location
Lightning,Tampa Bay
Bruins,Boston
Maple Leafs,Toronto
Canadiens,Montreal
Panthers,Florida
Sabres,Buffalo
Red Wings,Detroit
Senators,Ottawa
Capitals,Washington
Islanders,New York
Penguins,Pittsburgh
Hurricanes,Carolina
Blue Jackets,Columbus
Flyers,Philadelphia
Rangers,New York
Devils,New Jersey
Flames,Calgary
Sharks,San Jose
Golden Nights,Las Vegas
Coyotes,Arizona
Canucks,Vancouver
Ducks,Anaheim
Oilers,Edmonton
Kings,Las Angeles
Predators,Nashville
Jets,Winnipeg
Blues,St. Louis
Stars,Dallas
Avalanche,Colorado
Blackhawks,Chicago
Wild,Minnesota
